timestamp,angle,distance
2025-06-26 20:34:52,30,16.6
2025-06-26 20:34:55,60,56.77
2025-06-26 20:35:01,90,56.34
2025-06-26 20:35:04,120,56.75
2025-06-26 20:35:07,150,56.75
2025-06-26 20:35:10,180,16.91
2025-06-26 20:35:14,0,16.93
2025-06-26 20:35:17,30,56.34
2025-06-26 20:35:20,60,16.93
2025-06-26 20:35:23,90,56.34
2025-06-26 20:35:26,120,56.77
2025-06-26 20:35:29,150,16.93
2025-06-26 20:35:32,180,57.9
2025-06-26 20:35:35,0,58.72
2025-06-26 20:35:38,30,58.72
2025-06-26 20:35:42,60,57.9
2025-06-26 20:35:45,90,57.45
2025-06-26 20:35:48,120,57.88
2025-06-26 20:35:51,150,57.47
2025-06-26 20:35:57,180,16.6
2025-06-26 20:36:00,0,57.47
2025-06-26 20:36:03,30,57.47
2025-06-26 20:36:06,60,57.04
2025-06-26 20:36:09,90,16.6
2025-06-26 20:36:12,120,57.06
2025-06-26 20:36:16,150,16.6
2025-06-26 20:36:19,180,16.6
2025-06-26 20:36:22,0,16.6
2025-06-26 20:36:25,30,16.6
2025-06-26 20:36:28,60,57.9
2025-06-26 20:36:31,90,56.34
2025-06-26 20:36:34,120,56.75
2025-06-26 20:36:38,150,56.34
2025-06-26 20:36:43,180,56.34
2025-06-26 20:36:46,0,9.5
2025-06-26 20:36:49,30,9.84
2025-06-26 20:36:52,60,8.15
2025-06-26 20:36:55,90,8.15
2025-06-26 20:36:59,120,8.15
2025-06-26 20:37:02,150,8.13
2025-06-26 20:37:05,180,9.84
2025-06-26 20:37:08,0,8.13
2025-06-26 20:37:11,30,35.23
2025-06-26 20:37:14,60,7.17
2025-06-26 20:37:18,90,4.25
2025-06-26 20:37:21,120,133.51
2025-06-26 20:37:24,150,31.08
2025-06-26 20:37:27,180,802.88
2025-06-26 20:37:30,0,802.88
2025-06-26 20:37:33,30,132.71
2025-06-26 20:37:37,60,132.69
2025-06-26 20:37:40,90,132.69
2025-06-26 20:37:43,120,133.1
2025-06-26 20:37:49,150,132.69
2025-06-26 20:37:52,180,129.64
2025-06-26 20:37:55,0,131.8
2025-06-26 20:37:58,30,132.21
2025-06-26 20:38:02,60,132.24
2025-06-26 20:38:05,90,157.64
2025-06-26 20:38:08,120,157.3
2025-06-26 20:38:11,150,131.42
2025-06-26 20:38:14,180,132.31
2025-06-26 20:38:17,0,131.87
2025-06-26 20:38:20,30,131.81
2025-06-26 20:38:23,60,131.44
2025-06-26 20:38:26,90,132.24
2025-06-26 20:38:30,120,4.9
2025-06-26 20:38:33,150,4.9
2025-06-26 20:38:36,180,4.9
2025-06-26 20:38:39,0,4.9
2025-06-26 20:38:43,30,4.9
2025-06-26 20:38:46,60,4.89
2025-06-26 20:38:49,90,4.9
2025-06-26 20:38:56,120,4.9
2025-06-26 20:38:59,150,4.9
2025-06-26 20:39:02,180,4.9
2025-06-26 20:39:05,0,4.9
2025-06-26 20:39:08,30,4.9
2025-06-26 20:39:11,60,4.9
2025-06-26 20:39:14,90,4.9
2025-06-26 20:39:18,120,4.9
2025-06-26 20:39:21,150,4.9
2025-06-26 20:39:24,180,4.9
2025-06-26 20:39:27,0,4.9
2025-06-26 20:39:30,30,4.9
2025-06-26 20:39:33,60,4.9
2025-06-26 20:39:36,90,4.9
2025-06-26 20:39:40,120,4.9
2025-06-26 20:39:43,150,4.9
2025-06-26 20:39:48,180,4.89
2025-06-26 20:39:54,0,4.9
2025-06-26 20:39:57,30,4.9
2025-06-26 20:40:00,60,4.9
2025-06-26 20:40:03,90,4.9
2025-06-26 20:40:06,120,4.9
2025-06-26 20:40:09,150,4.9
2025-06-26 20:40:12,180,4.9
2025-06-26 20:40:16,0,4.9
2025-06-26 20:40:19,30,4.9
2025-06-26 20:40:22,60,4.9
2025-06-26 20:40:25,90,4.9
2025-06-26 20:40:28,120,4.9
2025-06-26 20:40:32,150,4.9
2025-06-26 20:40:35,180,4.9
2025-06-26 20:40:38,0,4.9
2025-06-26 20:40:41,30,4.9
2025-06-26 20:40:44,60,4.9
2025-06-26 20:40:48,90,4.9
2025-06-26 20:40:51,120,4.9
2025-06-26 20:40:54,150,4.9
2025-06-26 20:40:57,180,3.6
2025-06-26 20:41:00,0,4.9
2025-06-26 20:41:03,30,3.6
